"","klasifikasi","score","text"
"1","Negatif",-1,"salah  wisata ng disuka  jawa  berkalikali  kesini candinya tetaik  terjaga     emi covid fasilitas  keamanan    ala   bergerombol   ramai "
"2","Positif",2,"sejarah banget nih  cuman kalo  kesana  siang siang  s bangettttterus ambil t tiket masuk prambanan  ratu boko kalo weekday harganya  ribu  weekend  ribu  ir kendaraan  candi prambanan "
"3","Positif",2,"biaya masuk rbdewasa anak  tarif  kalo  mengunjungi temwisata  disitu kalo   guide   bayar jasanya  sfoto menarik yg berbayar   rb  sewa    "
"4","Positif",4,"cagar budaya  indah  luas  belajar sejarah  cuci mata  ruang terbuka hijau  terawat   luas  tiket  menikmati indahnya candi prambanan candi sewu candi bubrah  candi luwung "
"5","Positif",5,"  membawa keluarga berkunjung  candi  megah cantik  luas    yaratan khusus  emi  mereda  tetatuhi okol kesehatan koms candi utama   dinaiki sei turan "
"6","Positif",1,"ssru seru serudari sekian candi yg ah ku kunjungi  suka  banan  corona masuk banan wangi bunganya semerbak otw dr loket  "
"7","Positif",2,"candi   borobudur  ah dikunjungi sayang  masuk   candinya  diolehkan   emi   dibuka  skrg penasaran  lihat langsung ng loro jonggrang "
"8","Negatif",-1,"   langsung terlintas  otak  dateng kesini penataan nya raedbd suka  jalan jalan   walaucuaca  s sayang sih   masuk  candi karna   kondisi  mudah mudahan em "
"9","Positif",2,"candi prambanan merun candi hindu terbesar  indonesia   indah   megah  merun warisan budaya indonesia  situs warisan dunia unesco   dilindungi kelestariannya  rintah candi prambanan "
"10","Positif",1,"late   des  berkesemn  prambanan  bs kesni lg stlh sekian   sei candi borobudur   emi tdk   keatas candi  "
"11","Positif",2,"candi i i letaknya  gir kota jogja atasan  klaten  midah dijangkau  letaknya  jalan utama jogja areanya  luas  bersih      garan bebera"
"12","Netral",0,"situs sejarah  temwisata   menarik   budaya seni  arsitektur zaman a   mamenghasilkan "
"13","Positif",2,"bagus  cocok  wisata keluarga jalan keliling candi saran k   nyaman karna temya luas   cocok   malas jalan bawa ng bagus  karna disana s   luawa air "
