WEBjve href,d4r55,RfnDt,RfnDt 2,eaLgGf src,rsqaWe,DU9Pgb,content,w8nwRe,Tap5If,Tap5If 2,dSlJg src,Hzvxle,pkWtMe,dSlJg src 2,znYl0
https://www.google.com/maps/contrib/113141432063520708945/reviews?hl=id,D. Setiono,Local Guide,· 30 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,7 bulan lalu,Baru,"Salah satu wisata paling disuka di Jawa Tengah. Berkali-kali datang kesini candinya tetap epik dan terjaga dengan baik. Di tengah pandemi covid, fasilitas dan keamanan sangat baik, bahkan apabila ada yang bergerombol atau keadaan ramai …",Lainnya,+,20,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,40,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/107669873339536633629/reviews?hl=id,B,Local Guide,· 150 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,9 bulan lalu,Baru,Sejarah banget nih... .. cuman kalo mau kesana jangan siang siang soalnya panas bangetttt....terus ambil paket tiket masuk Prambanan dan Ratu boko kalo weekday harganya 50 ribu dan weekend 75 ribu. Jadi parkir kendaraan di Candi Prambanan …,Lainnya,+,5,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,17,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/113228262894106229673/reviews?hl=id,putri sujatmi,Local Guide,· 49 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,4 bulan lalu,Baru,"Biaya masuk 50rb/dewasa, 25/anak. Ada tarif sendiri kalo mau mengunjungi tempat wisata lainnya disitu. Kalo mau pake guide juga bisa bayar jasanya.
Banyak spot foto menarik, yg berbayar juga ada, 20rb. Ada sewa sepeda juga untuk …",Lainnya,+,12,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,21,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/112492080896908893247/reviews?hl=id,Rifky Anindika,Local Guide,· 132 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,9 bulan lalu,Baru,"Cagar budaya yang indah & luas, bisa belajar sejarah & cuci mata dengan ruang terbuka hijau yang terawat & sangat luas. Satu tiket bisa menikmati indahnya Candi Prambanan, Candi Sewu, Candi Bubrah & Candi Luwung. …",Lainnya,+,6,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,6,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/107334019052899412272/reviews?hl=id,Dian Prakoso,Local Guide,· 479 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,2 bulan lalu,Baru,"Akhirnya bisa membawa keluarga berkunjung ke candi yang megah, cantik dan luas ini. Tidak ada persyaratan khusus setelah pandemi sedikit mereda ini. Tetap patuhi protokol kesehatan. Kompleks candi utama belum bisa dinaiki seperti peraturan …",Lainnya,+,13,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,2,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/110415712433849022925/reviews?hl=id,TIKA ISMAYA,Local Guide,· 12 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,10 bulan lalu,Baru,"Ssru seru seru,dari sekian candi2 yg pernah ku kunjungi, aku suka sekali prambanan.
Sebelum corona, pas masuk prambanan wangi bunganya semerbak. Otw dr loket ke …",Lainnya,+,8,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,9,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/115890678346867403859/reviews?hl=id,Cindra,Local Guide,· 523 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,5 bulan lalu,Baru,Candi kedua setelah borobudur yang pernah dikunjungi. Sayang sekali masuk ke dalam candinya tidak diperbolehkan sejak masa pandemi dan belum dibuka hingga skrg. Penasaran mau lihat langsung patung Loro Jonggrang. …,Lainnya,+,6,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,2,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/104020215161768263992/reviews?hl=id,Devina Yuliani,Local Guide,· 12 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,10 bulan lalu,Baru,Satu hal yang langsung terlintas di otak ketika dateng kesini. Penataan nya rapi 👍. Suka sekali jalan jalan ke sini walaupun cuaca sangat panas. Sayang sih belum bisa masuk ke candi karna masih dalam kondisi pzandemi. Mudah mudahan pandem …,Lainnya,+,13,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,45,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/100441352428238455379/reviews?hl=id,Akhmad Hidayat,Local Guide,· 1.384 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,9 bulan lalu,Baru,Candi Prambanan merupakan Candi Hindu terbesar di Indonesia yang sangat indah dan  megah serta merupakan warisan budaya Indonesia sekaligus situs warisan dunia UNESCO yang sangat dilindungi kelestariannya oleh pemerintah. Candi Prambanan …,Lainnya,+,9,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,19,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
https://www.google.com/maps/contrib/108899508691192911955/reviews?hl=id,puspita indah,Local Guide,21 ulasan,https://www.gstatic.com/images/icons/material/system_gm/2x/more_vert_black_18dp.png,10 bulan lalu,Baru,"Late post
31 Des 2021 berkesempatan ke Prambanan, akhirnya bs kesni lg stlh sekian lama, sama seperti Candi Borobudur selama masa pandemi tdk boleh naik keatas candi & …",Lainnya,+,3,https://www.gstatic.com/images/icons/material/system_gm/2x/thumb_up_gm_grey_18dp.png,Suka,4,https://www.gstatic.com/images/icons/material/system_gm/2x/share_gm_grey_18dp.png,Bagikan
